,Gender,UG Specialization (Major),Interests,Skills,Average CGPA/Percentage,Certification Courses,Certification Course Title,Working Status,Mapped Category
248,1,computer applications ,"teaching,technology,web designing,content writing","active listening,programming language skills,gathering information,communication skills,leadership,problem solving skills,risk management skills,writing skills,data visualization skills power bi tableau ,c ,sql,content creation,medical knowledge,java,cloud computing",76.0,1,"c, cpp, java",0,Technology & Data Science
249,1,zoology,understand human body,excel,73.0,1,no,0,Healthcare & Life Sciences
250,0,mechanical ,service,"accounting skills,active listening,hardware skills,sales,social media marketing,hr",59.09,0,no,1,Service & Customer-Oriented
251,0,mechanical engineering,technology,"critical thinking,communication skills,sap",75.0,1,sap mm ,1,Technology & Data Science
252,0,costing,financial analysis,"accounting skills,finance related skills",65.0,0,no,1,Business & Entrepreneurship
253,0,automobile engineering,"sales marketing, entrepreneurship","python, people management, communication skills, work under pressure, leadership, creativity skills, team work",83.12,0,no,1,Business & Entrepreneurship
254,1,commerce,home interior design,artistic creative skills,75.0,0,no,0,Creative Arts & Entertainment
255,0,automobile engineering ,"industires,machine learning,automotive textile machineryâ€™s",technical machine fitter,58.9,0,no,0,Technology & Data Science
256,0,electrical and electronics engineering,govt job,python,73.72,1,programming language,1,Career & Professional Development
257,1,electronics & telecommunications ,"all fields related to data science,machine learning","c , net framework,python ,c ,transact sql t sql",85.5,1,algorithmic toolbox,1,Technology & Data Science
258,0,electrical and electronics engineering,data analytics,no,76.0,0,no,1,Technology & Data Science
259,0,commerce,financial analysis,"accounting skills, critical thinking, analytic thinking, business knowledge, work under pressure, leadership, product knowledge, creativity skills, team work, excel, logical skills, interpersonal skills, presentation skills, problem solving skills, risk managing, reporting",76.95,1,six sigma black belt ,1,Business & Entrepreneurship
260,0,programming,"technology,trading","active listening, programming, work under pressure, teamwork,excel,logical skills interpersonal skills, presentation skills, reading",70.3,0,no,1,Technology & Data Science
261,0,civil engineering,"financial analysis,sales marketing,data analytics","accounting skills,communication skills,negotiation skills,editing,wealth management,presentation skills",72.0,0,no,0,Business & Entrepreneurship
262,0,finance,technology,"ml, python, sql",68.4,0,no,0,Technology & Data Science
263,0,computer science engineering,"take risk for profits, technology, trading, entrepreneurship","active listening, analytic thinking, business knowledge, work under pressure, team work, presentation skills, writing, observation skills, risk managing, reading, subject knowledge",74.1,1,nptel,0,Business & Entrepreneurship
264,0,automobile engineering,"data analytics,data scientist,all fields related to data science","data visualization skills power bi tableau ,python,artificial intelligence,sql",79.8,1,data vizualization,1,Technology & Data Science
265,1,information technology,data scientist,"programming language skills,analytical skills,communication skills,problem solving skills,data visualization skills power bi tableau ,python,sql,good communication skills",70.0,1,board infinity data science,0,Technology & Data Science
266,1,computer applications,"digital marketing,data scientist,social media marketing","programming language skills,people management,designing skills,social media marketing,interpersonal skills,good communication skills",33.25,0,no,1,Technology & Data Science
267,1,statistics,data analytics,"analytical skills,data visualization skills power bi tableau ,machine learning skills,python,sql",87.0,1,"data science using python and r, data visualization using tableau, deep learning and artificial intelligence",0,Technology & Data Science
268,1,computer science ,"technology,data analytics,data scientist,all fields related to data science","critical thinking,communication skills,negotiation skills,python,good communication skills",85.0,1,iso 14001,0,Technology & Data Science
269,0,biotechnalogy ,"sales marketing,trading,retailer,market reserach,construction manegement,excel","business knowledge,product knowledge,problem solving skills,risk management skills,sales,client management",70.0,0,no,1,Business & Entrepreneurship
270,0,"computer ( languages like  .. c, c++ ,  java,  c# ) ",cloud computing,"java enterprise edition,hibernate,zuul api gateway,spring cloud,apache zookeeper,amazon ec2,zoho,oracle crm,spring boot,spring mvc,docker,apache drill,angular",81.7,1,"
sun certified java programmer ",1,Technology & Data Science
271,1,computer science engineering,financial analysis,"accounting skills, business knowledge, negotiation skills, work under pressure, interpersonal skills",75.0,1,ipcc group 1,0,Business & Entrepreneurship
272,0,commerce,technology,"python, java",65.55,0,no,0,Technology & Data Science
273,1,electronics and communication engineering,understand human body,"writing skills,medical knowledge",89.0,0,no,1,Healthcare & Life Sciences
274,0,dental surgeon ,hardware,"altium designer,printed circuit board pcb design,ni labview, digital electronics semiconductors,arduino,xilinx vivado,verilog,kicad,ni multisim,eagle pcb,electronic circuit design,altium circuitmaker,internet of things iot ,electronics hardware design,orcad capture cis,orcad",76.95,1,electronics and hardware design;usb 2.0,1,Technology & Data Science
275,0,electronics and communication engineering,"understand human body,govt job","medical knowledge,hospitality",65.0,0,no,0,Healthcare & Life Sciences
276,0,biology,"technology,data analytics,data scientist","programming language skills,critical thinking,gathering information,business knowledge,analytical skills,product knowledge,problem solving skills,data visualization skills power bi tableau ,machine learning skills,sql",52.87,0,no,1,Technology & Data Science
277,1,electronics and communication engineering,"understand human behaviour,social causes","hr,good communication skills",70.0,0,no,1,Social Impact & Humanities
278,0,irpm,research,"accounting skills,active listening,hardware skills,critical thinking,people management,communication skills,leadership,designing skills,writing skills",63.27,1,"auto cad, solid works",0,Career & Professional Development
279,0,mathematics,production supervisor,"people management,leadership,problem solving skills",64.12,0,no,1,Business & Entrepreneurship
280,0,mechanical engineering ,"technology,trading,data analytics,data scientist","programming language skills,analytical skills,c ,python,sql,java",57.0,1,data science and artificial int,0,Technology & Data Science
281,0,computer science engineering,"financial analysis, research, technology, understand human behaviour, understand human body","ai, ml, critical thinking, analytic thinking, civil criminal law, work under pressure, leadership, problem solving skills",78.85,0,no,0,Technology & Data Science
282,0,computer science engineering,technology,"python, programming, communication skills, leadership, c , writing, observation skills",78.0,0,no,0,Technology & Data Science
283,0,computer science engineering,cyber secuirty,"ibm qradar,owasp,ethical hacking,threat vulnerability management,splunk,vulnerability scanning,malware analysis,tenable nessus,epolicy orchestrator,metasploit,burp suite,security information and event management siem ,",75.9,1,offsenive bug bounty hunter 2.0 ;ethical hacking: trojans and backdoors,1,Technology & Data Science
284,0,electronics & telecommunications ,financial analysis,"accounting skills, active listening, cost accounting, market study, excel, logical skills, problem solving skills, writing, sales, building rapport",75.05,0,no,1,Business & Entrepreneurship
285,0,accountancy,"sales marketing,digital marketing","active listening,critical thinking,business knowledge,content creation",68.88,0,no,0,Business & Entrepreneurship
286,0,mechanical engineering ,"data analytics,data scientist","programming language skills,critical thinking,analytical skills,communication skills,leadership,problem solving skills,data visualization skills power bi tableau ,machine learning skills,r,python,artificial intelligence",68.3,1,data science ai ml,1,Technology & Data Science
287,0,electronics and communication engineering,"news coverage,technology","gathering information,business knowledge,analytical skills,people management,civil criminal law,communication skills,negotiation skills,mass communication,leadership",72.0,1,journalism ,1,Technology & Data Science
288,1,mathematics ,teaching,"critical thinking, artistic skills, communication skills, editing, interpersonal skills, reporting, reading, subject knowledge",83.0,1,"pgdbm , psychotherapy and counselling",1,Career & Professional Development
289,0,psychology,trading,team work,57.95,0,no,0,Business & Entrepreneurship
290,0,accountancy,"news coverage, social justice","python, gathering informing, business knowledge",95.0,0,no,0,Social Impact & Humanities
291,0,communication & political science,data analytics,no,85.5,0,no,1,Technology & Data Science
292,0,computer science engineering,research,"editing, writing, observation skills, reading",65.0,0,no,1,Career & Professional Development
293,0,history,research,"editing, writing, observation skills, reading",65.0,0,no,1,Career & Professional Development
294,0,history,software job,no,74.1,0,no,1,Technology & Data Science
295,1,electrical and electronics engineering,"teaching, entrepreneurship","active listening, communication skills, leadership, creativity skills, presentation skills, problem solving skills, writing, tableau, reading, subject knowledge",84.64,1,data science ,0,Business & Entrepreneurship
296,1,computer science engineering,"research,game industry,data scientist","programming language skills,business knowledge,analytical skills,communication skills,leadership,problem solving skills,data visualization skills power bi tableau ,machine learning skills,r,python,artificial intelligence,good communication skills",82.65,1,data science ,0,Technology & Data Science
297,0,statistics ,"teaching,web designing,data analytics,govt job,data scientist,all fields related to data science ,sap consultant in mm,information technology,machine learning,automotive textile machineryâ€™s","active listening,hardware skills,programming language skills,critical thinking,gathering information,artistic creative skills,business knowledge,communication skills,negotiation skills,leadership,problem solving skills,risk management skills,designing skills,writing skills,machine learning skills,wealth management,presentation skills,sap",72.0,0,no,0,Technology & Data Science
298,1,mathematics ,govt job,"accounting skills,programming language skills,editing,writing skills,python,hr,good communication skills",63.36,1,data science ,1,Career & Professional Development
299,0,mathematics ,information technology,"sql,java,javascript",69.92,1,java developer ,1,Technology & Data Science
300,0,computer applications ,"research,data analytics,data scientist","active listening,designing skills,python",67.0,1,from ibm machine learning with python,1,Technology & Data Science
301,0,mechanical engineering,"news coverage,research,social justice,technology,trading,understand human behaviour,supply chain analysis,data analytics,digital marketing,data scientist,market reserach,social media marketing","data visualization skills power bi tableau ,python,sql,client management,good communication skills",54.15,0,no,0,Technology & Data Science
302,0,mechanical engineering,"sales marketing,technology,supply chain analysis,govt job,market reserach,infrastructure,design","accounting skills,finance related skills,people management,civil criminal law",67.4,1,"mscit ,catia v5, autocad ,",1,Business & Entrepreneurship
303,1,mechanical engineering,financial analysis,"business analytics,risk analytics,sas,marketing management,market research,business strategy,commercialbanking,portfolio management,supply chain management,business process reengineering,consumer behaviour,long term customer relationships,retail marketing,financial accounting,credit risk modeling,security analysis,working capital management,trategic marketing,investment banking,structured finance",73.72,1,"
chartered banker",1,Business & Entrepreneurship
304,0,computer science engineering,"financial analysis,sales marketing,trading,supply chain analysis,data analytics,industires,blockchain,salesforce admin,agriculture, services,excel","accounting skills,hardware skills,critical thinking,analytical skills,finance related skills,people management,product knowledge",95.0,0,no,0,Business & Entrepreneurship
305,0,computer software engineer,technology,"critical thinking, analytic thinking, business knowledge, sql, programming, communication skills, work under pressure, editing, team work, excel, logical skills, interpersonal skills, presentation skills, tableau, building rapport",82.18,0,no,1,Technology & Data Science
306,1,mechanical engineering,"financial analysis,news coverage,digital marketing","accounting skills,active listening,business knowledge,leadership,hr",81.6,1,tally pro,0,Media & Communication
307,1,finance ,content writing,"artistic creative skills,communication skills,mass communication,writing skills,content creation",66.5,0,no,1,Media & Communication
308,1,arts,"news coverage,understand human behaviour,content writing,govt job,social causes","critical thinking,gathering information,artistic creative skills,communication skills,mass communication,editing,writing skills,content creation",75.0,1,no,1,Social Impact & Humanities
309,1,journalism,"news coverage,digital marketing","active listening,people management,communication skills,leadership,editing,social media marketing",71.25,0,no,1,Media & Communication
310,1,arts,understand human behaviour,"active listening,business knowledge,communication skills,product knowledge",66.0,1,"adca  , tally ",1,Social Impact & Humanities
311,1,accounts,technology,python,84.0,1,data science,0,Technology & Data Science
312,0,statistics,technology,"ai, ml, python, java",73.15,0,no,1,Technology & Data Science
313,0,electronics and communication engineering,"social media marketing,design","designing skills,machine learning skills,social media marketing",81.0,0,no,1,Creative & Design
314,0,mechanical engineering,"research,technology,data analytics,data scientist","active listening,programming language skills,critical thinking,gathering information,artistic creative skills,analytical skills,communication skills,problem solving skills,writing skills,data visualization skills power bi tableau ,machine learning skills,interpersonal skills,c ,python,sql,good communication skills",62.13,1,electric vehicles and hybrid electric vehicles ,0,Technology & Data Science
315,0,mechanical engineering,"sales marketing,technology,product life cycle management","people management,leadership",65.55,0,no,1,Business & Entrepreneurship
316,0,mechanical engineering ,"supply chain analysis,product life cycle management","leadership,product knowledge,sales",63.18,0,no,1,Business & Entrepreneurship
317,0,mechanical engineering ,service,"accounting skills,active listening,hardware skills,leadership,problem solving skills,good communication skills",75.0,0,no,1,Service & Customer-Oriented
318,0,chemistry,construction,civil criminal law,70.0,0,no,1,Technical & Engineering Fields
319,1,civil engineering,data analytics,"leadership,machine learning skills,python,sql,matlab",78.3,1,ms office and advance excel,0,Technology & Data Science
320,0,computer science engineering,"technology,data analytics,all fields related to data science","active listening,programming language skills,critical thinking,gathering information,artistic creative skills,analytical skills,finance related skills,people management,communication skills,negotiation skills,editing,problem solving skills,risk management skills,python,sql,java,good communication skills",72.2,1,selenium testing java,1,Technology & Data Science
321,0,computers,"news coverage,research,technology,trading,understand human behaviour,understand human body","accounting skills,active listening,gathering information,analytical skills,negotiation skills,mass communication",80.75,0,no,1,Technology & Data Science
322,0,mechanical engineering ,"financial analysis,research,teaching,understand human behaviour,web designing,data analytics","accounting skills,gathering information,artistic creative skills,editing,linux",64.6,0,no,0,Career & Professional Development
323,0,accountancy,"data analytics,data scientist,machine learning,excel","critical thinking,gathering information,analytical skills,people management,communication skills,negotiation skills,problem solving skills,risk management skills,writing skills,data visualization skills power bi tableau ,interpersonal skills,c ,presentation skills,r,python,sql,client management,good communication skills,teaching,cad cae autocad catia ansys proe seimensnx ,programming language c",76.0,0,no,1,Technology & Data Science
324,0,mechanical engineering,"teaching,technology","analytical skills,leadership,social media marketing",71.16,0,no,1,Technology & Data Science
325,0,mechanical engineering ,"financial analysis, take risk for profits, trading, understand human behaviour, understand human body","accounting skills, gathering informing, business knowledge, people management, product knowledge, excel, observation skills",65.55,1,staad pro ,1,Business & Entrepreneurship
326,1,engineering,"technology,web designing","programming language skills,wealth management,python",70.3,0,no,1,Technology & Data Science
327,0,computer science ,technology,"ai, python",77.9,0,no,1,Technology & Data Science
328,0,mechanical engineering,"supply chain analysis,data analytics","active listening,people management,leadership",71.25,0,no,1,Technology & Data Science
329,0,computer science engineering,"technology,trading,data analytics,service","business knowledge,product knowledge",60.0,0,no,0,Technology & Data Science
330,0,management,"web designing,govt job,web development","accounting skills,critical thinking,artistic creative skills,business knowledge,analytical skills,finance related skills,civil criminal law,mass communication,editing,product knowledge,problem solving skills,writing skills,data visualization skills power bi tableau ,machine learning skills,social media marketing,c ,presentation skills,python,content creation,medical knowledge,java,hr,proeficiency in software like staad pro, etabs",69.0,0,cad,1,Technology & Data Science
331,1,mechanical ,research,"active listening,programming language skills,risk management skills,writing skills,sql,java",85.5,0,no,1,Career & Professional Development
332,1,computer science engineering,technology,"programming language skills,finance related skills,editing,c ,python,artificial intelligence,sql,java",62.0,0,no,1,Technology & Data Science
333,1,computer science engineering,technology,"team work, excel, logical skills, c , problem solving skills, writing",71.25,0,no,0,Technology & Data Science
334,0,information technalogy,"technology,industires,information technology","hardware skills,plc scada vlsi dcs",85.69,1,plc,1,Technology & Data Science
335,0,instrumentation,"financial analysis,research,technology,data analytics","programming language skills,critical thinking,business knowledge,communication skills,leadership,problem solving skills,python,sql,java",62.7,1,data science,0,Technology & Data Science
336,1,electronics and communication engineering,"technology,teaching","creativity skills, team work, programming",68.4,1,full stack developer training,1,Technology & Data Science
337,0,civil engineering,software engineer,"ai, ml, python",74.1,0,no,0,Technical & Engineering Fields
338,0,java programming & website designing,"financial analysis,technology,supply chain analysis,data analytics,data scientist,web development,service,infrastructure","accounting skills,business knowledge,analytical skills,finance related skills,communication skills,machine learning skills,c ,r,linux,python,artificial intelligence,sql,medical knowledge,java,cloud computing,proeficiency in software like staad pro, etabs,good communication skills",65.61,1,type writting english  skills,1,Technology & Data Science
339,0,pharmacy,"construction,construction manegement,urban planning","proeficiency in software like staad pro, etabs",79.8,1,staad-pro,1,Technical & Engineering Fields
340,1,civil,technology,programming,62.0,0,i doing job ,1,Technology & Data Science
341,0,computer science engineering,"web designing,web development",javascript,95.0,1,no,1,Technology & Data Science
342,0,mathematics,technology,communication skills,78.85,0,no,1,Technology & Data Science
343,0,chemistry,"research, teaching, technology","gathering informing, leadership, market study, team work",83.6,0,no,1,Career & Professional Development
344,1,automobile engineering,"financial analysis, teaching, technology","accounting skills, communication skills, editing, excel, presentation skills, writing, reading, subject knowledge",70.0,0,no,0,Technology & Data Science
345,0,mathematics,entrepreneurship,"programming, logical skills, observation skills",84.55,0,no,0,Business & Entrepreneurship
346,0,automobile engineering,"financial analysis, technology, entrepreneurship, understand human behaviour","accounting skills, active listening, gathering informing, java, sql, programming, communication skills, work under pressure, news gathering, editing, product knowledge, excel, interpersonal skills, presentation skills, c , problem solving skills, observation skills, building rapport",78.56,1,ms html-css foundation certificate,1,Business & Entrepreneurship
347,1,computer science engineering,"data analytics,data scientist,social media marketing","analytical skills,data visualization skills power bi tableau ,c ,python,sql,java,aws",80.75,1,sql,1,Technology & Data Science
348,1,information technology,"technology, understand human behaviour","ml, business knowledge, people management, communication skills, negotiation skills, leadership, product knowledge, team work, excel",74.1,1,"course on r, python, react,react native,javascript,typescript",1,Technology & Data Science
349,0,information technology,"financial analysis,news coverage,research,sales marketing,social justice,trading,understand human behaviour,understand human body,supply chain analysis,web designing,content writing,data analytics,govt job,game industry,digital marketing,home interior design,retailer,data scientist,web development,market reserach,social media marketing,social causes,all fields related to data science ,navy defence related,customer care,urban planning","active listening,critical thinking,gathering information,analytical skills,people management,communication skills,negotiation skills,leadership,editing,product knowledge,problem solving skills,risk management skills,designing skills,writing skills,data visualization skills power bi tableau ,machine learning skills,sales,presentation skills,r,python,medical knowledge,hospitality,client management,good communication skills",74.86,1,data science course,0,Business & Entrepreneurship
350,0,accountancy,"research, sales marketing, social justice, teaching, technology, entrepreneurship, understand human behaviour","programming, communication skills, work under pressure, leadership, editing, product knowledge, team work, excel, logical skills, interpersonal skills, presentation skills, c , problem solving skills, mass communication, writing, reading, designing skills, sales",83.32,0,no,1,Business & Entrepreneurship
351,0,physics,research,designing skills,72.2,1,no,0,Career & Professional Development
352,1,automobile engineering,"technology,govt job,data scientist","active listening,editing,r,python",80.08,1,data science,0,Technology & Data Science
353,0,automobile engineering,"data scientist,machine learning",python,81.7,1,"python, machine learning",0,Technology & Data Science
354,0,"mathematics, statistics and computer science",mobile app development,"c ,python,sql,java,architecture,php",79.8,1,algorithmic toolbox ,1,Technology & Data Science
355,0,computer science engineering,"research,teaching,technology,govt job","active listening,programming language skills,critical thinking,business knowledge,people management,negotiation skills,c",98.0,1,cyber security and ethical hacking,1,Career & Professional Development
356,0,computer science engineering,"financial analysis, research, technology","accounting skills, business knowledge, people management, work under pressure, cost accounting, reading",69.0,0,no,1,Technology & Data Science
357,1,programing language,"data analytics,data scientist,sap consultant in mm,cloud computing","problem solving skills,c ,linux,python",65.26,0,no,0,Technology & Data Science
358,0,accountancy,technology,no,85.5,0,no,1,Technology & Data Science
359,0,computer science engineering,"social justice,technology,web designing,digital marketing,web development,market reserach,social media marketing,information technology,machine learning,agriculture, services","programming language skills,critical thinking,gathering information,artistic creative skills,business knowledge,communication skills,leadership,designing skills,machine learning skills,sales,social media marketing,artificial intelligence,good communication skills,us canada recruitment it ,aws,php",55.0,1,"php, html, digital marketing",1,Technology & Data Science
360,1,electronics and communication engineering,"understand human behaviour,data scientist,web development","programming language skills,writing skills,python",71.25,0,no,0,Technology & Data Science
361,0,econamics,content writing,editing,59.0,0,no,1,Media & Communication
362,1,information science,"teaching, entrepreneurship","sales, subject knowledge",60.0,1,computer applications,0,Business & Entrepreneurship
363,1,vedio editing ,"teaching, entrepreneurship","reading, sales",57.0,1,basic computer,0,Business & Entrepreneurship
364,1,zoology,"financial analysis,govt job","active listening,communication skills,java,good communication skills,teaching",80.75,0,no,0,Business & Entrepreneurship
365,0,computer applications,"machine learning,all fields related to data science","python, c , problem solving ,kivy, competitive programming, data structures ,backend web development ,spring boot, spring framework",87.59,1,"learning spring with spring boot;
react js ",1,Technology & Data Science
366,0,statistics,trading,leadership,69.0,0,no,1,Business & Entrepreneurship
367,0,computer science engineering,"technology,govt job","analytical skills,communication skills,product knowledge,risk management skills,good communication skills",45.0,0,no,1,Technology & Data Science
368,0,accountancy,social justice,people management,69.35,1,bh,1,Social Impact & Humanities
369,0,econamics,"financial analysis,research,sales marketing,trading","business knowledge,finance related skills,communication skills,leadership,interpersonal skills",78.18,1,istqb ,1,Business & Entrepreneurship
370,0,finance ,"financial analysis,technology,trading,data analytics,all fields related to data science ,information technology,blockchain","analytical skills,communication skills,leadership,problem solving skills,c ,linux,sql,good communication skills",73.72,0,no,0,Technology & Data Science
371,0,computer engineering ,"research,technology,web designing,data analytics,govt job","active listening,hardware skills,programming language skills,critical thinking,gathering information,artistic creative skills,business knowledge,analytical skills,finance related skills,communication skills,negotiation skills,mass communication,leadership,editing,problem solving skills,designing skills,writing skills,data visualization skills power bi tableau ,machine learning skills,social media marketing,c ,presentation skills,r,linux,python,sql,java,matlab",76.0,1,python with data science,0,Technology & Data Science
372,0,"c, c++, java, sql, mysql, unix, html, mathematics, statistics",construction manegement,"proeficiency in software like staad pro, etabs",71.25,1,construction management,1,Technical & Engineering Fields
373,1,civil engineering,"technology,data analytics,data scientist,web development","data visualization skills power bi tableau ,machine learning skills,c ,r,linux,python,artificial intelligence,sql",74.1,1,tableau,1,Technology & Data Science
374,1,computer science engineering,"news coverage,understand human behaviour,content writing,digital marketing","active listening,critical thinking,gathering information,people management,communication skills,mass communication,editing,problem solving skills,writing skills,content creation",78.0,0,no,1,Media & Communication
375,1,chemistry,"research, understand human behaviour, understand human body","people management, communication skills, writing, observation skills, reporting",76.0,0,no,0,Healthcare & Life Sciences
376,0,botany,technology,"ai, ml, python",57.48,1,web and software engineer ,0,Technology & Data Science
377,1,computer science engineering,financial analysis,"accounting skills,business knowledge,finance related skills,people management",59.0,0,handicraft ,0,Business & Entrepreneurship
378,1,accounting ,"data scientist,information technology","data visualization skills power bi tableau ,c ,linux,python,artificial intelligence,sql",88.73,1,oracle,1,Technology & Data Science
379,1,computer science engineering,teaching,teaching,62.0,1,dled,0,Career & Professional Development
380,0,political science ,teaching,java,58.62,0,no,1,Career & Professional Development
381,0,computer science engineering,technology,no,78.85,0,no,1,Technology & Data Science
382,1,cse,entrepreneurship,"critical thinking, gathering informing, leadership, team work, risk managing",74.1,0,no,1,Business & Entrepreneurship
383,0,automobile engineering,design,"hardware skills,analytical skills,communication skills,leadership,editing,product knowledge,problem solving skills,risk management skills,designing skills",60.0,0,no,1,Creative & Design
384,0,n.a,"research, teaching, geography and geology","analytic thinking, sql, oracle, programming, communication skills, interpersonal skills",70.78,0,no,1,Career & Professional Development
385,0,electrical and electronics engineering,construction,"active listening,people management,communication skills,leadership,problem solving skills,risk management skills",68.0,0,no,0,Technical & Engineering Fields
386,0,building material and construction ,research,"accounting skills, cost accounting",58.0,0,talyy,1,Career & Professional Development
387,0,computer science engineering,technology,"java, sql, programming, team work",75.81,0,no,1,Technology & Data Science
388,1,computer science engineering,"financial analysis,understand human behaviour",leadership,70.0,0,no,0,Business & Entrepreneurship
389,0,computer applications,"technology,entrepreneurship","creativity skills,leadership,market study, teamwork, programming",78.85,1,"java training,power bi",1,Technology & Data Science
390,0,computer science engineering,financial analysis,"ml, python, analytic thinking, sql, excel, problem solving skills, tableau, risk managing",69.06,1,data science course completion,0,Business & Entrepreneurship
391,0,engineering,industires,mechanical maintenance,80.75,1,reliability engineering,1,Technical & Engineering Fields
392,1,mechanical engineering,"news coverage,technology,understand human behaviour,understand human body,data analytics,home interior design","active listening,critical thinking,gathering information,artistic creative skills,analytical skills,people management,communication skills,negotiation skills,mass communication,leadership,problem solving skills,risk management skills,designing skills,writing skills,machine learning skills,social media marketing,interpersonal skills,presentation skills,linux,artificial intelligence,sql,medical knowledge,cloud computing,hr",86.0,1,"advanced java program, emergency department in medical coding and diploma in basic software",1,Technology & Data Science
393,1,computer applications ,"research,data analytics,data scientist,all fields related to data science","active listening,gathering information,problem solving skills,matlab,good communication skills,teaching",81.0,1,c and c++,0,Technology & Data Science
394,1,electronics and instrumentation engineering,"financial analysis, research, take risk for profits, technology, trading","accounting skills, python, critical thinking, analytic thinking, business knowledge, communication skills, negotiation skills, leadership, editing, product knowledge, cost accounting, creativity skills, market study, team work, derivatives, logical skills, c , problem solving skills, observation skills, risk managing, designing skills, building rapport",68.4,0,no,1,Business & Entrepreneurship
395,0,mathematicsãš,sales marketing,"team work, reporting",65.55,1,certificate in information technology ,1,Business & Entrepreneurship
396,0,finance and hrãš,sales marketing,"leadership, c i t",65.55,1,certificate in information technology ,1,Business & Entrepreneurship
397,0,business administration,sales marketing,"communication skills, leadership, team work, reporting",65.55,1,certificate in information technology ,1,Business & Entrepreneurship
398,0,sales & marketing,"technology,data analytics,game industry","active listening,gathering information,artistic creative skills,editing,problem solving skills,sql",60.0,1,sql,1,Technology & Data Science
399,0,computer science ,technology,"python, artistic skills, sql, communication skills, editing, excel, c",60.0,1,sql,1,Technology & Data Science
400,0,computer science engineering,"financial analysis,data analytics,social media marketing","critical thinking,business knowledge,analytical skills,sql",56.34,0,no,1,Technology & Data Science
401,1,information technology,"research,technology,data analytics,data scientist","active listening,critical thinking,gathering information,artistic creative skills,communication skills,problem solving skills,risk management skills,writing skills,data visualization skills power bi tableau ,presentation skills,good communication skills",75.0,1,advanced java,1,Technology & Data Science
402,0,computer science engineering,"sales marketing, teaching, entrepreneurship","business knowledge, communication skills, negotiation skills, work under pressure, leadership, creativity skills, market study, team work, excel, logical skills, interpersonal skills, presentation skills, observation skills, sales",84.55,1,tech programs,1,Business & Entrepreneurship
403,0,automobile engineering,statistical programmer,"programming language skills,r,python,programming language c,sas",65.0,1,data science ,1,Technology & Data Science
404,0,electronic ,financial analysis,"accounting skills,analytical skills,finance related skills,people management,negotiation skills",66.0,0,no,1,Business & Entrepreneurship
405,0,ecr,financial analysis,"accounting skills, analytic thinking, gathering informing, people management, communication skills, work under pressure, leadership, cost accounting, team work, excel, interpersonal skills, problem solving skills",68.59,0,no,0,Business & Entrepreneurship
406,1,accountancy,technology,"ai, ml, python, analytic thinking, gathering informing, sql, team work, excel, tableau",66.5,1,data science professional course,0,Technology & Data Science
407,0,computer science engineering,"technology,understand human behaviour,understand human body,data scientist","active listening,business knowledge,lotus notes",60.0,1,notes,1,Technology & Data Science
408,1,csit,"technology,data analytics,data scientist,information technology","active listening,programming language skills,critical thinking,gathering information,business knowledge,analytical skills,people management,negotiation skills,sql,hr,client management,us canada recruitment it",57.08,1,"certified plsql and bigdata analysis, vendor management from linkedin",1,Technology & Data Science
409,1,information technalogy (it),information technology,"programming language skills,critical thinking,leadership,data visualization skills power bi tableau ,machine learning skills,python,good communication skills,programming language c",73.0,1,data science,0,Technology & Data Science
410,0,electrical and electronics engineering,understand human behaviour,"active listening, communication skills, designing skills",79.8,0,no,1,Social Impact & Humanities
411,1,engineering,data analytics,"problem solving skills,data visualization skills power bi tableau ,machine learning skills,python",73.0,1,pgdca,0,Technology & Data Science
412,0,electrical and electronics engineering,software job,no,74.1,0,no,1,Technology & Data Science
413,1,mechanical engineering,technology,"ai, ml, python, java, sql, oracle, programming, work under pressure, leadership, product knowledge, team work, logical skills, presentation skills, c , problem solving skills, writing, observation skills, subject knowledge",87.4,1,"coursera python certification, naascom artificial intelligence course, web development course",1,Technology & Data Science
414,1,computer science engineering,technology,linux,56.52,0,no,1,Technology & Data Science
415,0,electrical and electronics engineering,"research, technology","python, people management, leadership, creativity skills, team work, observation skills, risk managing",88.92,1,c language,0,Technology & Data Science
416,1,computer science engineering,"financial analysis,sales marketing,govt job,game industry,digital marketing,web development,market reserach,industires,design","accounting skills,programming language skills,business knowledge,finance related skills,people management,risk management skills",65.0,1,ccc,0,Business & Entrepreneurship
417,0,commerce,"research, technology, entrepreneurship","active listening, ai, ml, python, critical thinking, analytic thinking, programming, communication skills, work under pressure, leadership, c , problem solving skills",88.16,1,computational fluid dynamics,1,Technology & Data Science
418,0,automobile engineering,technology,python,70.0,0,no,1,Technology & Data Science
419,1,mechanical engineering,"social justice,understand human behaviour,gardening","active listening,critical thinking,product knowledge,presentation skills,artificial intelligence,good communication skills,teaching",54.34,1,pgdca and screen printing,0,Social Impact & Humanities
420,1,english,"research, technology","python, java",61.75,0,no,1,Technology & Data Science
421,0,electronics and communication engineering,software,"java, sql",69.0,0,no,0,Technology & Data Science
422,1,electronics and communication engineering,technology,"leadership, team work, excel, reading, designing skills",78.85,0,no,1,Technology & Data Science
423,0,automobile engineering,engineering,engineering,76.0,0,no,1,Technical & Engineering Fields
424,1,engineering,financial analysis,accounting skills,76.0,0,no,0,Business & Entrepreneurship
425,1,commerce,"technology,data scientist,machine learning","active listening,hardware skills,programming language skills,communication skills,r,python,sql,matlab,good communication skills",60.0,0,no,1,Technology & Data Science
